ID;Name;NeOn ODP;Formalization;Example;OWL constructs;Expressivity
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;List NP<class1> PREP NP<class2>;List all games of a certain Genre;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Where | (How [many]) can | do PRON VB NEG(be | have | CATV | PART) NP<class1>?;Where can I get R software?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Where | (How [many]) can | do PRON VB NEG(be | have | CATV | PART) NP<class1> PREP NP<class2>?;Where do I get updates for MUSCLE?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Where | (How [many]) can | do PRON VB NEG(be | have | CATV | PART) NP<class1> PREP NP<class2> VB NEG(be / have / CATV / PART) ?;How can I get problems with multiscan fixed?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;[ADV] Which | What | How | How many | Do | (Be there) [a| any | be] NP<class1> VB [PREP] NP<class2> ?;What items exist in a game?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;What | Which is the relation between NP<class1> and [(NP<class>,)* and] NP<class2>?;What is the relation between organization and devices?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;What be NP<class1> AP<property> NP<class2>?;What are the games similar to this one?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;[ADV] Do NP<class1> PREP NP<class2> VB NEG(be / have / CATV / PART) ?;At what point did the license type of SpikeLI change?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;In what NP<class> be NP<class2> VB NEG(be / have / CATV / PART) ?;In what language was Ringo implemented?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;[Through ] What | Which | How many ÊNP<class1> does NP<class2> VB NEG(be / have / CATV / PART)?;Which properties does a people counting observe?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
